14	((((((1_1111001011,2_1111101001),(3_2111101221,4_2112111201)),(7_2111101221,8_2111101201)),(((10_2222112101,9_2222112101),13_2110101001),(((11_2212110000,5_1101001221),12_2202110000),6_1111001001))),(14_0110201001,19_2100101000)),((15_0110201001,16_2100101000),(17_1111001001,18_2112111000)))root;
15	(((1_2102111000,2_1102211000),(3_1122211100,4_1102111200)),8_1122211101)root;
16	((((10_2112111201,9_2112111201),(7_2102111201,8_2102111201)),((11_2112111001,(12_2112111001,5_2100111200)),6_2102111201)),(3_0102011000,4_2102101000))root;
17	(((((10_0102111000,9_0100001012),(7_0201000021,8_0100001012)),((((11_0121201121,12_0121201121),5_0201000021),14_0100001000),6_0201000021)),4_0201000021),(13_0121201121,15_0100001000))root;
18	(((((1_2122111121,2_2122111121),(3_2102111201,4_2122111121)),(7_2112111201,8_2112111201)),(((10_2112111221,9_2112211221),13_2112111201),((11_2112111221,((12_2112111201,6_2112111201),14_1110001221)),5_2112111201))),((15_1110001221,16_1110001201),(17_1100001001,(18_1112111221,(19_2102111000,20_1112011221)))))root;
19	((1_2100101000,(((10_1112111002,9_2101111000),(7_1111001021,8_1101001000)),(((11_2100001000,(12_1112011001,14_1212011021)),6_1111101020),13_2102111000))),(((15_1211101021,16_2100101000),(17_0112211021,(18_0112011021,19_2100101221))),(20_1100201221,((21_1111001011,23_1111001000),((24_1111101011,25_1111001011),26_1111001011)))))root;
20	(1_2100101000,((5_2102111021,((7_2212110021,8_2212110021),9_2212110021)),6_2112111021))root;
21	(((1_2100101000,2_2100101000),(3_1101001100,4_2100101000)),(10_0102011000,(11_1112011021,12_1112011021)))root;
22	((1_2100101000,(3_2120101100,4_2120101100)),(((10_0011200200,9_0011200200),(7_0001200200,8_0001200200)),(5_2120101120,6_2120101121)))root;
23	(((1_0220002121,2_0220002121),(3_0220002121,4_0220002121)),(((10_0122211121,9_0122211121),(7_0102211221,8_0102211220)),(5_2100101000,6_2100101000)))root;
24	(((1_2101101201,2_0121201121),(3_2102111000,4_2102101000)),((5_2100111000,((7_2100101001,8_2100101001),9_0200000021)),6_0100001000))root;
25	(((1_2102111221,2_2102111211),(3_2102111011,4_2102111011)),((((10_1122011111,9_1122011111),(7_1111201221,8_1111201221)),(5_1110001221,6_1110001221)),11_1122011111))root;
26	(((((1_2101001000,2_1111001000),(3_2102101000,4_2111101021)),(7_1102211001,8_1112211200)),(((10_1101001201,9_0102211000),13_2011102221),((11_1111001201,((12_2100101020,6_2102111221),14_1100001000)),5_1112011020))),((15_1112011021,16_0102011021),(17_2102111000,(18_1111001010,(19_1110201021,20_1102011221)))))root;
27	((((1_0111001211,2_0111001211),(3_0112011000,4_2102011000)),(((10_1111201001,9_1110201001),(7_1111001201,8_1111001201)),((((11_0112211001,6_1111001201),5_1111001201),12_0101201001),14_1110001211))),(15_0111001211,16_2100101000))root;
28	(((1_0100000022,2_0000000022),(3_0000001022,4_0000000022)),(((10_1111001011,9_1101001011),(7_0000000222,8_0000000222)),((11_1111101011,(5_0100000222,6_0000000222)),12_1111001011)))root;
29	(((((10_2020102101,9_2020102101),13_2120101100),((11_2020102101,(14_2100101000,6_2120102101)),5_2020102101)),((2_2120101101,4_2020102101),(7_2020102101,8_2020102101))),((15_0100201001,16_0100201001),(17_0100201001,18_0100201001)))root;
30	((((1_2111101000,2_2100101000),(3_1111101001,4_2102011000)),((((10_1111101001,9_1101001000),(7_2100101000,8_1101101001)),(5_2100101000,6_2100101000)),14_2100101000)),(13_2111101000,(15_1111001001,16_1111001011)))root;
31	((((1_1111011221,3_1111011201),(((10_1110111121,9_1110111121),13_1111111211),(11_1112111111,(12_1111111211,(14_1111111211,6_1111011221))))),(((15_1111111111,16_1111111111),(18_1112111121,19_1112111121)),((20_0111211001,((27_1110212021,29_1110212021),(30_2222210021,31_2222110000))),((21_0111211001,22_1111111101),26_1110111021)))),((32_1112111021,(36_1100000000,39_1100100000)),(35_1102111200,(((((((40_1110111221,(43_1110111221,46_1100111221)),41_1110111221),44_1110111221),45_1110111221),42_1110111221),8_1110111221),7_1110111221))))root;
32	((((1_2111211221,2_2111211221),4_1112001001),(5_0112011221,7_2112112221)),((10_2111012221,11_2111011221),(12_2111212221,13_2211212221)))root;
33	(((((10_0111011221,11_0110011221),(6_0112110211,(8_0110111211,9_0110111211))),(4_1111211221,7_0112110211)),31_1112211221),((((((((17_0000111111,18_0000111111),20_0000111111),21_0000111111),19_0000111111),((22_0000111121,23_0000111121),26_0000111121)),((24_0000211121,25_0000211121),27_0100111121)),((28_2111211111,29_1111211101),(30_1112211200,35_2112111201))),((32_0112111221,33_0112110221),34_2112111221)))root;
34	((((1_2111111101,2_1112211101),(3_0111211101,4_0111211221)),((5_0111211221,6_0000100021),7_0000100021)),((12_2022111221,13_2002111221),(14_0110111221,15_0120111221)))root;
35	(((10_0112211201,(8_0112210201,9_0112211201)),(11_0102211221,(12_0112211201,13_0112211201))),((15_1000111221,(17_1000111221,18_1000111221)),(((19_1112111221,21_1112111221),20_1112111221),22_1112111221)))root;
36	((((1_1110002211,2_1110001211),(3_1110001211,4_2102101000)),7_1111001201),((10_1110001201,11_2100101001),(8_1110201201,9_1110201201)))root;
37	((((1_1111001011,(3_1111001011,4_1111001011)),((6_1111101011,7_1111011011),8_1111101011)),((11_1111001011,(12_1111001011,13_1111001011)),9_1111001011)),((((14_1112011011,15_1111101011),(16_1111001011,(17_1111001011,18_1111001011))),((19_1111101011,21_1111001011),20_2101101001)),5_1111001011))root;
38	(((1_2100101000,2_0100001000),(3_2102111000,4_2100101020)),(5_2112111201,((6_1112011201,7_2122111221),8_2112111221)))root;
39	((((1_1112211001,2_1112211001),(3_0122211101,4_0122211101)),((5_2100101000,6_2100101000),7_2100101000)),(10_2100101000,(8_2100101000,9_2100101000)))root;
40	((((1_2000100000,2_2202112221),(3_2202112221,4_2202112221)),(5_0122211221,((6_2122111221,7_0102212101),8_2112111221))),(((10_2212111221,11_0122011221),9_2102111200),((12_0112011221,13_0110001201),14_0110001201)))root;
41	(((((1_0222010100,2_0122011100),(3_0112211200,4_0112011200)),8_2101101001),((10_1111101011,9_2111101011),(11_1111201001,(12_1222010102,13_1202010002)))),(16_0112011200,19_2112111221))root;
42	(1_2100101021,(4_0110201221,5_2100101000))root;
43	((((1_0000000021,2_0000000021),(3_0000000021,4_0000000021)),(5_2100101000,(7_2100101001,8_2100001001))),(((10_2100101000,11_0100001000),9_2100101000),((12_2100101000,13_2100101000),14_0100001000)))root;
44	(((((1_2110101021,2_2110101021),(3_2110101021,4_2110101021)),(5_2100101221,((6_2100101221,7_2100101221),8_2100101221))),(((10_0112011012,9_0112011012),(11_0112011012,(12_0112011012,13_0112011012))),((14_0112011012,15_0112011012),16_0112011012))),((((((17_2121101100,(18_2111101201,20_0111001221)),19_0111001221),21_0122211121),((22_0122211121,23_2212112221),26_2112111211)),((24_2212112221,25_2100101000),27_2112111211)),(28_2112111211,((29_0122211221,30_0122211111),(31_1121101111,32_1121001111)))))root;
45	((((((1_2111101221,2_1112211000),3_0110101001),4_1110001021),((5_2100101000,7_1111001201),8_1111001221)),((((10_1111001221,9_1111001221),14_1111001201),13_1111001221),11_2112111221)),22_2100101000)root;
46	(((13_0111011101,((14_0111011001,16_2102011221),9_1111001201)),(4_0120111100,((5_1120111100,7_1120111101),8_1101001201))),(18_2102011221,19_2102011221))root;
47	(((((1_1112001011,4_1112111211),3_0112111211),2_1112111211),((5_2110211021,(7_2110211021,8_2110211021)),6_2110211021)),(10_1111212121,9_1111212021))root;
48	((((1_0201000201,(2_0101000000,4_0201010201)),3_0201010201),(((5_2122211021,8_0112211021),7_0112210021),6_2202011221)),(10_0112011021,9_0100011021))root;
49	(((10_2121212001,((((13_2122111221,14_2122111221),15_2122111221),9_2121212001),16_2122111221)),11_2121211201),12_2121211201)root;
50	(((((10_1111111111,16_2111111111),14_2111111111),15_2111111111),(4_1111111111,(((5_1111111111,7_1111111001),8_1111111111),6_1111111111))),((18_2111111111,19_2111111111),21_2111111111))root;
51	((((((((10_2112012221,9_2112012221),13_1122012001),14_1122012001),15_0122012201),11_2112212221),12_2112212221),16_0122012000),(((17_0122012000,18_0122012000),(19_2112212211,20_2112212211)),(21_2112202201,22_2112212211)))root;
52	((3_1111111011,4_1111111111),(5_2111111211,(6_2111111211,7_2111111121)))root;
53	((1_1111111111,2_1111111111),(10_1111111111,11_1111111001))root;
54	(((1_0111111111,(3_1110111101,4_1111211101)),((5_1111111101,(6_1111111101,7_2112211201)),8_2112111121)),(10_2110011000,9_2110011000))root;
55	((((1_0000000221,((2_0000000221,3_0000000221),4_0000000221)),(5_0000010021,6_0000010021)),(13_0112211221,((14_0112211221,15_0112212221),16_0112212221))),(((17_2112011221,18_2112011221),(19_2112011221,20_2112011221)),(((21_2112011221,22_2112011221),(23_2112011221,24_2112011221)),((25_2112210000,((26_2112000201,27_2112211201),28_2112211201)),((29_2000212000,30_2000212000),(31_2000212021,32_2000212021))))))root;
56	(((1_0222000000,(2_0222000000,4_0222000000)),3_0222000000),((5_0112000000,(6_0112000000,7_0122000000)),8_0122000000))root;
57	(((((1_0122210221,(3_0212210221,4_0212210221)),2_0122210221),(5_2102120202,((6_2102120202,7_2102120202),8_2102120202))),(((12_2202000000,((14_2102212202,15_2102212101),9_2102000000)),13_2102212202),16_2102212101)),((17_2102210101,(19_2102210101,20_2102210101)),(((21_2100001201,22_2100001201),(23_0100001201,24_1100001201)),((25_2100002001,(26_2100002001,(27_2100002001,28_2100002001))),(29_2100002001,30_2100002001)))))root;
58	(((1_2112211101,2_2112001211),(7_2112001211,8_1111111101)),(13_1111111111,(14_1112111111,(15_1111111111,16_1111111111))))root;
59	(((((1_1111111111,4_1111111211),3_1111111211),2_1111111111),(5_1111111211,(6_1111111211,7_1111111211))),(((10_1111111011,(13_1111111111,9_1011111011)),14_1111111111),15_1111111111))root;
60	(((((((1_0122212021,3_0122212021),2_0122212021),4_0022212021),(((5_0122211021,7_0122211011),6_0122211021),8_0122211011)),29_1111111221),(((10_0111001001,((14_2111111221,9_0111211021),16_2111111221)),12_2110111001),15_2111111221)),(13_2111211221,(((((17_2112111111,18_0012111111),(23_2110000000,24_1011211101)),(26_1111211221,27_1111011221)),25_1112211101),((28_0111111221,31_0101111121),33_1112212121))))root;
61	((1_1211212201,4_2112010221),3_2112010221)root;
62	((((10_2111212121,(11_2111212121,(12_2111212121,13_2111212121))),17_2121212221),4_2222212000),(((((20_2110211201,23_2110211201),22_2110211201),21_2110211201),((24_2212212221,25_2212212221),(26_2112212221,27_2112212221))),((((3_0112211221,(((42_0112211221,45_0112211221),44_0112211221),43_0112211221)),47_0112212221),((40_0112210000,41_0112210000),46_0112212221)),(((((32_0012211000,((36_0012211000,38_0012211000),39_0012211000)),35_0012211000),34_0012211000),33_0012211000),37_0012211000))))root;
63	(((1_2021020221,2_2021020221),3_2011020221),((5_1222212201,6_1222212201),7_1222012201))root;
64	(((1_2122212001,2_2102212001),(3_2022212001,4_2012212001)),((5_2112212001,6_2102212001),(7_2122212001,8_2122212001)))root;
65	((10_0111111001,7_0111211211),6_2102001201)root;
66	(((1_1111101011,(3_1111111211,4_1111111211)),(12_1111111101,(6_1111111121,7_2111111111))),((((((10_1111111111,((((((((16_1111111111,(17_1111110111,21_1111111111)),20_1111111111),25_1111111111),22_1111111111),18_1111111111),24_1111111111),23_1111111111),28_1111111111)),14_1111111111),2_1111111111),8_1111111111),9_1111111111),19_1111111111))root;
67	((((1_0112212221,(2_0112212221,8_0112212221)),4_0112212221),5_0112212221),((11_2112212021,12_2112212221),(7_0112212221,9_2122212221)))root;
68	(((((10_0111211221,13_0110211221),12_0111211221),9_2220211021),(((3_0100210021,4_2110210001),((5_0110210001,6_2212211221),7_2220211021)),8_0212211021)),(11_0111211221,(14_0100000101,15_0000000101)))root;
69	(((1_2000000021,(2_2000000021,8_0010012200)),((3_2100000221,4_2100000221),((5_2100000221,6_2100000221),7_0010012200))),((10_0000212200,9_0000212200),(11_0000212201,12_0000212201)))root;
70	((((1_0111112221,(2_0111112221,8_0110112221)),((3_0111112221,4_0111112221),((5_1110012221,6_1110012021),7_0110112221))),(((10_2211012221,13_2111010121),12_2111010121),9_2211012221)),(11_2211012221,(14_2111010121,15_2111010121)))root;
71	(((1_0122212201,(2_0122212201,8_0122212200)),((3_0022212201,4_0022212201),(5_0122210201,6_0122210201))),(((11_2112111221,9_2112011221),(14_2112011221,15_2112011221)),(16_2112010201,(((17_2112010201,19_2112010201),18_2112010201),20_2112010201))))root;
72	((((1_2110111221,(2_2110111221,8_1110111111)),((3_2110111221,4_2110111221),((5_2110111121,6_2110111121),7_1111111101))),(((10_1111111111,11_1111110101),(12_1111110101,13_1112111101)),9_1111111111)),(15_0120212201,((16_0120212201,19_0100212201),20_0120212201)))root;
73	(((((1_2112011221,(2_2112211200,8_2122012221)),((3_2112211200,4_2112211200),(5_2122012221,6_2102012221))),12_2110211221),(((11_2110211221,13_2110011221),(14_2110011221,15_2110111001)),(17_2110111001,18_2110111001))),(((((19_2110211021,22_2102011021),21_2112211021),20_2122211021),((23_2112212221,24_2112212221),(25_0122212221,26_0122211221))),((27_0102111001,28_0102212001),(29_1100212001,30_1100211001))))root;
74	((((((1_1112111111,(3_1112111001,4_1112111111)),((5_2110111211,6_1111111111),7_1111111111)),8_2111111111),((10_1111111001,(12_1111110111,13_2110111001)),9_2111111111)),(14_1110111121,15_1110111121)),((22_2100002000,(23_2100000001,(25_1111102001,26_1110111121))),(27_1112111121,((28_1111112201,29_1111112201),(30_1111110201,31_1111112201)))))root;
75	(((((1_1111000011,(3_1111111111,4_1111111111)),((5_1111111001,6_1102010010),7_1111111101)),2_0111111111),(13_2110111211,(14_2110111211,15_2110111211))),((23_1111111101,24_1111111021),((27_1111111000,28_0102001011),(29_1111111100,30_2100000000))))root;
76	(2_2100011021,(3_0112211221,4_0112211221))root;
